Exp. name;Threads;Granulation;Par. Exec. Time;Seq. Exec. Time;Valid
find;1;5;0,0473;0,0001;1
find;2;5;0,0577;0,0001;1
find;3;5;0,0952;0,0001;1
find;4;5;0,0545;0,0001;1
find;5;5;0,1325;0;1
find;6;5;0,1008;0,0001;1
find;7;5;0,0834;0,0001;1
find;8;5;0,1316;0,0001;1
find;9;5;0,0852;0,0002;1
find;10;5;0,0834;0,0001;1
find;11;5;0,0444;0,0001;1
find;12;5;0,1277;0,0001;1
find;13;5;0,0846;0,0002;1
find;14;5;0,1327;0,0001;1
find;15;5;0,0541;0,0001;1
find;16;5;0,0508;0,0001;1
find;17;5;0,1347;0,0001;1
find;18;5;0,1284;0,0001;1
find;19;5;0,1325;0,0001;1
find;20;5;0,131;0,0001;1
find_if;1;5;0,0564;0,0001;1
find_if;2;5;0,089;0,0001;1
find_if;3;5;0,0917;0,0001;1
find_if;4;5;0,0791;0,0001;1
find_if;5;5;0,1316;0,0001;1
find_if;6;5;0,1325;0,0001;1
find_if;7;5;0,1323;0,0001;1
find_if;8;5;0,136;0,0001;1
find_if;9;5;0,0679;0;1
find_if;10;5;0,084;0,0001;1
find_if;11;5;0,0832;0,0001;1
find_if;12;5;0,1289;0;1
find_if;13;5;0,0838;0,0001;1
find_if;14;5;0,0385;0;1
find_if;15;5;0,0376;0,0001;1
find_if;16;5;0,1322;0,0001;1
find_if;17;5;0,0833;0,0001;1
find_if;18;5;0,0807;0,0002;1
find_if;19;5;0,1184;0,0001;1
find_if;20;5;0,1304;0,0001;1
find_if_not;1;5;0,0878;0,0001;1
find_if_not;2;5;0,0889;0,0001;1
find_if_not;3;5;0,1003;0,0001;1
find_if_not;4;5;0,1096;0,0001;1
find_if_not;5;5;0,0445;0;1
find_if_not;6;5;0,1276;0,0001;1
find_if_not;7;5;0,133;0,0001;1
find_if_not;8;5;0,0818;0,0001;1
find_if_not;9;5;0,1327;0,0001;1
find_if_not;10;5;0,1326;0,0001;1
find_if_not;11;5;0,0829;0,0001;1
find_if_not;12;5;0,1276;0,0001;1
find_if_not;13;5;0,0383;0,0001;1
find_if_not;14;5;0,1245;0;1
find_if_not;15;5;0,0844;0,0001;1
find_if_not;16;5;0,1277;0,0001;1
find_if_not;17;5;0,1339;0,0001;1
find_if_not;18;5;0,1381;0,0001;1
find_if_not;19;5;0,127;0;1
find_if_not;20;5;0,038;0;1
all_of;1;5;0,0878;0,0001;1
all_of;2;5;0,0919;0,0001;1
all_of;3;5;0,0759;0;1
all_of;4;5;0,1091;0,0001;1
all_of;5;5;0,0846;0,0002;1
all_of;6;5;0,1306;0;1
all_of;7;5;0,131;0,0001;1
all_of;8;5;0,1197;0,0001;1
all_of;9;5;0,0368;0,0001;1
all_of;10;5;0,0869;0,0001;1
all_of;11;5;0,1296;0;1
all_of;12;5;0,1328;0;1
all_of;13;5;0,1313;0,0001;1
all_of;14;5;0,1324;0;1
all_of;15;5;0,0806;0,0001;1
all_of;16;5;0,1166;0,0001;1
all_of;17;5;0,0393;0,0001;1
all_of;18;5;0,13;0,0001;1
all_of;19;5;0,0843;0,0001;1
all_of;20;5;0,0704;0,0001;1
any_of;1;5;0,0891;0,0001;1
any_of;2;5;0,0889;0,0001;1
any_of;3;5;0,0844;0,0001;1
any_of;4;5;0,1149;0;1
any_of;5;5;0,1212;0;1
any_of;6;5;0,1287;0,0001;1
any_of;7;5;0,1293;0,0001;1
any_of;8;5;0,0847;0,0001;1
any_of;9;5;0,0902;0,0001;1
any_of;10;5;0,0845;0,0001;1
any_of;11;5;0,0337;0,0001;1
any_of;12;5;0,0656;0,0001;1
any_of;13;5;0,0308;0,0001;1
any_of;14;5;0,0842;0,0001;1
any_of;15;5;0,0604;0,0001;1
any_of;16;5;0,0653;0,0001;1
any_of;17;5;0,082;0,0001;1
any_of;18;5;0,0844;0,0001;1
any_of;19;5;0,0355;0,0001;1
any_of;20;5;0,1353;0,0001;1
non_of;1;5;0,088;0,0001;1
non_of;2;5;0,09;0,0001;1
non_of;3;5;0,1018;0,0001;1
non_of;4;5;0,0784;0,0001;1
non_of;5;5;0,1331;0,0001;1
non_of;6;5;0,0848;0,0001;1
non_of;7;5;0,0844;0,0001;1
non_of;8;5;0,1304;0,0001;1
non_of;9;5;0,0857;0;1
non_of;10;5;0,0876;0,0001;1
non_of;11;5;0,1334;0;1
non_of;12;5;0,0616;0,0002;1
non_of;13;5;0,1282;0;1
non_of;14;5;0,0286;0,0001;1
non_of;15;5;0,1072;0,0001;1
non_of;16;5;0,1302;0,0001;1
non_of;17;5;0,0398;0,0001;1
non_of;18;5;0,0857;0,0001;1
non_of;19;5;0,0535;0;1
non_of;20;5;0,1297;0,0001;1
count;1;5;59,221;59,3801;1
count;2;5;35,8844;59,3108;1
count;3;5;24,4509;59,939;1
count;4;5;24,6021;59,262;1
count;5;5;14,4455;60,0138;1
count;6;5;15,0812;60,0229;1
count;7;5;13,5988;60,8048;1
count;8;5;13,8115;59,8243;1
count;9;5;13,7494;59,4292;1
count;10;5;13,8693;59,2094;1
count;11;5;14,0329;59,2669;1
count;12;5;14,7742;59,4363;1
count;13;5;14,4159;59,7378;1
